Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
February,2017,Cataluña,Barcelona,Partner,75-84 years,75-84 years,No,Yes,1
February,2017,Cataluña,Barcelona,In separation process,31-40 years,51-64 years,Yes,No,1
February,2017,Comunitat Valenciana,Alicante/Alacant,Partner,75-84 years,>85 years,No,Yes,1
February,2017,Comunitat Valenciana,Valencia/València,Ex-partner,41-50 years,31-40 years,Yes,No,1
February,2017,Comunitat Valenciana,Valencia/València,Partner,41-50 years,51-64 years,No,No,1
February,2017,Extremadura,Badajoz,Partner,>85 years,>85 years,No,Yes,1
March,2017,Canarias,Las Palmas,Partner,21-30 years,31-40 years,No,Yes,1
March,2017,Castilla - La Mancha,Ciudad Real,Partner,41-50 years,41-50 years,No,Yes,1
March,2017,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,No,Yes,1
April,2017,Andalucía,Almería,Ex-partner,21-30 years,21-30 years,No,No,1
April,2017,Andalucía,Sevilla,In separation process,31-40 years,31-40 years,No,Yes,1
April,2017,Canarias,Santa Cruz de Tenerife,In separation process,41-50 years,31-40 years,No,No,1
April,2017,Cataluña,Barcelona,Partner,41-50 years,31-40 years,No,Yes,1
May,2017,Comunidad de Madrid,Madrid,Partner,31-40 years,41-50 years,No,Yes,1
May,2017,Comunidad de Madrid,Madrid,Partner,41-50 years,31-40 years,No,Yes,1
May,2017,Comunidad de Madrid,Madrid,Partner,51-64 years,51-64 years,No,Yes,1
May,2017,Comunidad de Madrid,Madrid,In separation process,21-30 years,31-40 years,Yes,No,1
May,2017,Región de Murcia,Murcia,Partner,31-40 years,41-50 years,No,No,1
June,2017,Andalucía,Granada,Partner,51-64 years,41-50 years,No,Yes,1
June,2017,Andalucía,Sevilla,Ex-partner,31-40 years,51-64 years,Yes,No,1
June,2017,Cataluña,Tarragona,In separation process,21-30 years,41-50 years,No,No,1
July,2017,Andalucía,Granada,Partner,65-74 years,65-74 years,No,Yes,1
